<html>
<head><title>403 Forbidden</title></head>
<body>
<center><h1>403 Forbidden</h1></center>
<hr><center>nginx/1.20.1</center>
</body>
</html>
央视频道,#genre#
4K,http://114.252.231.80:8000/rtp/239.3.1.249:8001?$北京联通
动作电影,http://110.185.199.139:8888/rtp/239.93.42.7:5140
动作电影,http://110.185.65.129:4443/rtp/239.93.42.7:5140
家庭影院,http://110.185.199.139:8888/rtp/239.93.42.6:5140
家庭影院,http://110.185.65.129:4443/rtp/239.93.42.6:5140
影迷电影,http://110.185.199.139:8888/rtp/239.93.42.5:5140
影迷电影,http://110.185.65.129:4443/rtp/239.93.42.5:5140
华数4K,http://114.252.231.80:8000/rtp/239.3.1.236:2000?$北京联通
凤凰中文,http://110.185.199.139:8888/rtp/239.93.0.162:2192
凤凰中文,http://110.185.65.129:4443/rtp/239.93.0.162:2192
凤凰资讯,http://110.185.199.139:8888/rtp/239.93.0.118:2191
凤凰资讯,http://110.185.65.129:4443/rtp/239.93.0.118:2191
组播剧场,#genre#
第一剧场,http://114.226.120.51:9004/rtp/239.49.8.94:8000
第一剧场,http://180.105.197.182:9981/rtp/239.49.8.94:8000
第一剧场,http://49.83.250.201:10001/rtp/239.49.8.94:8000?$江苏电信
风云剧场,http://114.226.120.51:9004/rtp/239.49.8.89:8000
风云剧场,http://180.105.197.182:9981/rtp/239.49.8.89:8000
风云剧场,http://49.83.250.201:10001/rtp/239.49.8.89:8000?$江苏电信
风云音乐,http://114.226.120.51:9004/rtp/239.49.8.92:8000
风云音乐,http://180.105.197.182:9981/rtp/239.49.8.92:8000
风云音乐,http://49.83.250.201:10001/rtp/239.49.8.92:8000?$江苏电信
怀旧剧场,http://114.226.120.51:9004/rtp/239.49.8.91:8000
怀旧剧场,http://180.105.197.182:9981/rtp/239.49.8.91:8000
怀旧剧场,http://49.83.250.201:10001/rtp/239.49.8.91:8000?$江苏电信
女性时尚,http://114.226.120.51:9004/rtp/239.49.8.93:8000
女性时尚,http://180.105.197.182:9981/rtp/239.49.8.93:8000
女性时尚,http://49.83.250.201:10001/rtp/239.49.8.93:8000?$江苏电信
世界地理,http://114.226.120.51:9004/rtp/239.49.8.87:8000
世界地理,http://180.105.197.182:9981/rtp/239.49.8.87:8000
世界地理,http://49.83.250.201:10001/rtp/239.49.8.87:8000?$江苏电信
IHOT爱动漫,http://110.185.199.139:8888/rtp/239.93.42.23:5140
IHOT爱动漫,http://110.185.65.129:4443/rtp/239.93.42.23:5140
IHOT爱怀旧,http://110.185.199.139:8888/rtp/239.93.42.21:5140
IHOT爱怀旧,http://110.185.65.129:4443/rtp/239.93.42.21:5140
IHOT爱经典,http://110.185.199.139:8888/rtp/239.93.42.13:5140
IHOT爱经典,http://110.185.65.129:4443/rtp/239.93.42.13:5140
IHOT爱科幻,http://110.185.199.139:8888/rtp/239.93.42.10:5140
IHOT爱科幻,http://110.185.65.129:4443/rtp/239.93.42.10:5140
IHOT爱青春,http://110.185.199.139:8888/rtp/239.93.42.16:5140
IHOT爱青春,http://110.185.65.129:4443/rtp/239.93.42.16:5140
IHOT爱悬疑,http://110.185.199.139:8888/rtp/239.93.42.12:5140
IHOT爱悬疑,http://110.185.65.129:4443/rtp/239.93.42.12:5140
IHOT爱幼教,http://110.185.199.139:8888/rtp/239.93.42.17:5140
IHOT爱幼教,http://110.185.65.129:4443/rtp/239.93.42.17:5140
IHOT爱院线,http://110.185.199.139:8888/rtp/239.93.42.11:5140
IHOT爱院线,http://110.185.65.129:4443/rtp/239.93.42.11:5140
北京频道,#genre#
BTV国际,http://114.252.231.80:8000/rtp/239.3.1.235:8000?$北京联通
北京财经,http://114.252.231.80:8000/rtp/239.3.1.116:8000?$北京联通
北京冬奥纪实,http://114.252.231.80:8000/rtp/239.3.1.243:8000?$北京联通
北京纪实科教,http://114.252.231.80:8000/rtp/239.3.1.115:8000?$北京联通
北京卡酷少儿,http://114.252.231.80:8000/rtp/239.3.1.189:8000?$北京联通
北京生活,http://114.252.231.80:8000/rtp/239.3.1.117:8000?$北京联通
北京文艺,http://114.252.231.80:8000/rtp/239.3.1.242:8000?$北京联通
北京新闻,http://114.252.231.80:8000/rtp/239.3.1.159:8000?$北京联通
北京影视,http://114.252.231.80:8000/rtp/239.3.1.158:8000?$北京联通
睛彩广场舞,http://114.252.231.80:8000/rtp/239.3.1.128:8001?$北京联通
淘宝贝,http://114.252.231.80:8000/rtp/239.3.1.238:8001?$北京联通
淘电影,http://114.252.231.80:8000/rtp/239.3.1.250:8001?$北京联通
淘精彩,http://114.252.231.80:8000/rtp/239.3.1.178:8001?$北京联通
淘剧场,http://114.252.231.80:8000/rtp/239.3.1.95:8001?$北京联通
淘娱乐,http://114.252.231.80:8000/rtp/239.3.1.100:8001?$北京联通
